X, Y, Z, Underflow, Overflow, Expected Z, Expected Underflow, Expected Overflow, TEST 
0, 0, 0, 0, 0, 0, 1, 0, ERROR
be385ded, 4a0de860, c8cc662b, 0, 0, c8cc662b, 0, 0, PASS 
717b87, cbe76a42, 80000000, 0, 0, 80000000, 0, 0, PASS 
3503067a, 871c05ed, 80000000, 1, 0, 80000000, 1, 0, PASS 
d63192df, d1c36cc0, 68878e50, 0, 0, 68878e50, 0, 0, PASS 
f26efe1f, 1a8a030f, cd80d7d8, 0, 0, cd80d7d8, 0, 0, PASS 
14411d30, ad09a955, 81cfb0b6, 0, 0, 81cfb0b6, 0, 0, PASS 
5da8baf1, 81761e51, 9fa2379e, 0, 0, 9fa2379e, 0, 0, PASS 
5953be17, 3170328f, 4b46ac07, 0, 0, 4b46ac07, 0, 0, PASS 
5f36ad9, 89a0927f, 80000000, 1, 0, 80000000, 1, 0, PASS 
d21b9ab2, ad2c6dd3, 3fd19d62, 0, 0, 3fd19d62, 0, 0, PASS 
6ded117b, 9aba0be3, c92c49b5, 0, 0, c92c49b5, 0, 0, PASS 
c07e22e7, 627b28c1, e37954ae, 0, 0, e37954ae, 0, 0, PASS 
1858fc8d, 4a96c87b, 237f9bd0, 0, 0, 237f9bd0, 0, 0, PASS 
8e459d08, 5fe14850, aeade6d6, 0, 0, aeade6d6, 0, 0, PASS 
2b39fac1, b17d6309, 9d3814c3, 0, 0, 9d3814c3, 0, 0, PASS 
a5f010c1, 3be7af62, a2594396, 0, 0, a2594396, 0, 0, PASS 
a54bd8fc, a4cf6e61, aa52c58, 0, 0, aa52c58, 0, 0, PASS 
29525f4b, 571b66a8, 40ff681d, 0, 0, 40ff681d, 0, 0, PASS 
22d6e5a6, 260fec96, 971a1c3, 0, 0, 971a1c3, 0, 0, PASS 
45598810, 232e88e8, 29144ed0, 0, 0, 29144ed0, 0, 0, PASS 
36eb51a9, 9b17405, 1231e1b, 0, 0, 1231e1b, 0, 0, PASS 
14be4c9b, ab2e4de1, 808191f6, 0, 0, 808191f6, 0, 0, PASS 
d4e1e26a, 82b6eed4, 182169b3, 0, 0, 182169b3, 0, 0, PASS 
ca919beb, 6cca712b, f7e64acc, 0, 0, f7e64acc, 0, 0, PASS 
caec00c8, bafd4e96, 46698538, 0, 0, 46698538, 0, 0, PASS 
bc36557a, d97ef06f, 5635940e, 0, 0, 5635940e, 0, 0, PASS 
d17b9972, f4d95a00, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
33357ba9, cb5e2c5, 80f131, 0, 0, 80f131, 0, 0, PASS 
28ab3a28, 74810dc8, 5daca30b, 0, 0, 5daca30b, 0, 0, PASS 
22132c6f, e5eace6a, c886fd48, 0, 0, c886fd48, 0, 0, PASS 
7115a27, d88d860, 0, 1, 0, 0, 1, 0, PASS 
c7353867, 79e8acb3, ff800000, 0, 1, ff800000, 0, 1, PASS 
e6b1ec30, 561ece36, fd5cbe2e, 0, 0, fd5cbe2e, 0, 0, PASS 
2ef70edd, c53657c1, b4aff942, 0, 0, b4aff942, 0, 0, PASS 
24d98402, 3884f70c, 1de1f3f3, 0, 0, 1de1f3f3, 0, 0, PASS 
2b869e8, bfeeab92, 832bee0e, 0, 0, 832bee0e, 0, 0, PASS 
178cdeb7, 2f6bf35f, 781d65e, 0, 0, 781d65e, 0, 0, PASS 
9cfac216, 9e247e70, 0, 1, 0, 0, 1, 0, PASS 
afe1959d, ef95a8f5, 6003e0f6, 0, 0, 6003e0f6, 0, 0, PASS 
96e27a07, fabbe9a9, 52263dda, 0, 0, 52263dda, 0, 0, PASS 
78063154, 38471f88, 70d0c1bf, 0, 0, 70d0c1bf, 0, 0, PASS 
31ac9e74, 448aa3d8, 36baf7ca, 0, 0, 36baf7ca, 0, 0, PASS 
5530ea2c, d5b75996, eb7d6a9d, 0, 0, eb7d6a9d, 0, 0, PASS 
4429a3f9, d1132473, d5c3029e, 0, 0, d5c3029e, 0, 0, PASS 
a5cf28d5, 1ea76f4e, 85077db5, 0, 0, 85077db5, 0, 0, PASS 
46ec354b, 289a324, 9fdfe19, 0, 0, 9fdfe19, 0, 0, PASS 
bc4f3f0d, 1874ba65, 95461efd, 0, 0, 95461efd, 0, 0, PASS 
8db183c4, 2750fcc8, 80000000, 1, 0, 80000000, 1, 0, PASS 
822f4bdf, 34f3d112, 80000000, 1, 0, 80000000, 1, 0, PASS 
f7d0c6aa, 263f1dcf, de9bdc89, 0, 0, de9bdc89, 0, 0, PASS 
57816c26, 98840743, b0857edf, 0, 0, b0857edf, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, 0, 0, 1, 0, 0, 1, 0, PASS 
ffffffff, ffffffff, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
0, ffffffff, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffffffff, 0, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
73b69159, cbc610d7, ff800000, 0, 1, ff800000, 0, 1, PASS 
6bc9ad93, da0ac18e, ff800000, 0, 1, ff800000, 0, 1, PASS 
75d46d52, 61d0aa3b, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
68232742, 6e325d9d, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
6a7d3531, 6d108a43, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
fc8b8b04, 48c63109, ff800000, 0, 1, ff800000, 0, 1, PASS 
66692c36, 770980f9, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
6cc38e2a, d7b04c4d, ff800000, 0, 1, ff800000, 0, 1, PASS 
7b792df4, 5e1b0942, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
f84514a4, cbac6b3a, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
580c48f3, 680e824e, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
fd79f1ac, 787cb11e, ff800000, 0, 1, ff800000, 0, 1, PASS 
f0790a0f, dcfe1339, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
f6a599d6, d29ac515, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
51740918, 7aa7374c, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
78f887de, d2d9b114, ff800000, 0, 1, ff800000, 0, 1, PASS 
700a6998, cf05200d, ff800000, 0, 1, ff800000, 0, 1, PASS 
6c56cc76, 72c1932e, 7f800000, 0, 1, 7f800000, 0, 1, PASS 
cc4717, bee1c577, 80000000, 1, 0, 80000000, 1, 0, PASS 
898da650, 3598a172, 80000000, 1, 0, 80000000, 1, 0, PASS 
1f8cde5d, 9fa7aa9f, 80000000, 1, 0, 80000000, 1, 0, PASS 
a922b3bb, 1679b744, 80000000, 1, 0, 80000000, 1, 0, PASS 
15b8db81, a9fd9565, 80000000, 1, 0, 80000000, 1, 0, PASS 
1ea935f0, 208824fb, 0, 1, 0, 0, 1, 0, PASS 
1d3cc39e, a25fcf2f, 80000000, 1, 0, 80000000, 1, 0, PASS 
c8961dd, 32e90a37, 0, 1, 0, 0, 1, 0, PASS 
abdb50ec, 13ed2621, 80000000, 1, 0, 80000000, 1, 0, PASS 
1c959793, 22a06107, 0, 1, 0, 0, 1, 0, PASS 
a34faf11, 9c50a26b, 0, 1, 0, 0, 1, 0, PASS 
ffa2863, afc522d5, 80000000, 1, 0, 80000000, 1, 0, PASS 
1052d71a, 2f74f2e3, 0, 1, 0, 0, 1, 0, PASS 
fd3e6f, 3e8f918c, 0, 1, 0, 0, 1, 0, PASS 
a7f7a472, 17cc69bc, 80000000, 1, 0, 80000000, 1, 0, PASS 
a8decabd, 968635c2, 0, 1, 0, 0, 1, 0, PASS 
3cded21, 3bffaf11, 0, 1, 0, 0, 1, 0, PASS 
29d2dd6c, ffbf7c97, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
76746de0, ffa21aee, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
b6c4b100, 7f927617, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
29de5063, ffcab0c5, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
7fe9f190, f742b0b6, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
7fc823ea, 4e0b9b58, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
47fbde74, 7fc60554, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
c7adf26a, 7fcd327f, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
ff82682f, 94bf4d09, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
9e1e52dc, ffcdbb0f, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
771c7d0a, 7fc7d9cd, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
ff9b5cb5, 3d0cfc60, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
7fb065c4, 976c4033, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
ffe9784d, a1ed57b8, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
7fe9d41b, 9cbd53fd, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
b1983262, ff964442, 7fc00000, 0, 0, 7fc00000, 0, 0, PASS 
7fc07c54, f9485460, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
7deebbc0, ffa9cce8, 7fc00000, 0, 1, 7fc00000, 0, 1, PASS 
